No.,Category,Level ,Question,Ans.1,Ans.2,Ans.3,Ans.4,Correct Ans.
177,English,Intermediate,They will sell this food in every food shop. Choose the correct passive voice:,This food will be sold by them in every food shop.,This food has been sold by them in every food shop.,This food was sold by them in every food shop.,That food will be sold by them in every food shop.,Ans.1
178,English,Intermediate,We do not need____rice.,any,a little,anymore,some,Ans.1
179,English,Intermediate,That clock was     . in Switzerland.,Do,make,does,made,Ans.2
180,English,Intermediate,We have never in public before,Sing,sung,song,singing,Ans.2
181,English,Hard,Choose the correct sentence:,Neither of the answers are correct,Neither of the answers is correct,Neither of the answers were correct,Neither of the answers have correct,Ans.2
182,English,Hard,Choose the correct meaning of the sentence: “He is known for being tight-fisted.”,He is very generous,He spends money easily,He is very stingy with money,He is careless with money,Ans.3
183,English,Hard,This painting _______ a fortune.,is worth,is value,values,worths,Ans.4
184,English,Hard,The story is too fantastic to be credible . Choose the meaning closest to the underlined word.,praise worthy,readable,believable,FALSE,Ans.3
185,English,Hard,Choose the word nearest in meaning to “categorical”:,distinct and clear,bureaucratic,eloquent,high minded,Ans.4
186,English,Hard,I spoke to a writer book was translated into twenty languages.,Whose,who,where,where,Ans.1
187,Logic,Easy,"Find the number that fits somewhere into the middle of the series. Some of the items involve both numbers and letters 1. Look at this series: 8, 43, 11, 41, __, 39, 17, ... What number should fill in the blank?",8,14,43,44,Ans.2
188,Logic,Easy,"Remember, you are looking for the word that does NOT belong in the same group as the others. Sometimes, all four words seem to fit in the same group. If so, look more closely to further narrow your classification. 2. Which word does NOT belong with the others?",biology,chemistry,theology,Math,Ans.3
189,Logic,Easy,"A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word. 3. Yard is to inch as quart is to",gallon,ounce,milk,water,Ans.2
190,Logic,Intermediate,"Every one of the following questions consists of a related pair of words, followed by five pairs of words. Choose the pair that best represents a similar relationship to the one expressed in the original pair of words. 5. PASTORAL : RURAL",metropolitan : urban,harvest : autumn,agrarian : benevolent,sleepy : nocturnal,Ans.1
191,Logic,Intermediate,"Statement: The address of the Principal to the students, ""Dear students, if you want a healthy mind, listen to music."" Assumptions: 1. Normally students like to follow good advice. 2. It is desirable to develop a healthy mind. 3. It is the duty of the Principal to advise the students.",Only I and II are implicit,Only II and III are implicit,Only I and III are implicit,None of these,Ans.1
192,Logic,Intermediate,Statement: The higher echelons of any organization are expected to be models of observational learning and should not be considered as merely sources of reward and punishments. Assumptions: 1.Employees are likely to be sensitive enough to learn by observing the behaviour of their 2.bosses. Normally bosses are considered as sources of reward and punishment.,nly assumption I is implicit,nly assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Ans.3
193,Logic,Intermediate,"Statement: A good book, even if costly, is sold. Assumptions: 1,Some books are better than others. 2. Most of the books are costly.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Ans.1
194,Math,Easy,2 + 22 + 23 + ... + 29 = ?,2044,1022,1056,2056,Ans.2
195,Math,Easy,"How many of the following numbers are divisible by 3 but not by 9 ? 2133, 2343, 3474, 4131, 5286, 5340, 6336, 7347, 8115, 9276",5,6,7,None of these,Ans.2
196,Math,Easy,Which one of the following can't be the square of natural number ?,32761,81225,42437,20164,Ans.3
197,Math,Intermediate,"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?",23 years,24 years,25 years,None of these,Ans.1
198,Math,Intermediate,"If 0.75 : x :: 5 : 8, then x is equal to:",1.12,1.2,1.25,1.3,Ans.2
199,Math,Intermediate,"A began a business with Rs. 85,000. He was joined afterwards by B with Rs. 42,500. For how much period does B join, if the profits at the end of the year are divided in the ratio of 3 : 1?",4 months,5 months,6 months,8 months,Ans.4
200,Math,Intermediate,36 men can complete a piece of work in 18 days. In how many days will 27 men complete the same work?,12,18,22,24,Ans.4
201,Math,Intermediate,"An aeroplane covers a certain distance at a speed of 240 kmph in 5 hours. To cover the same distance in 1 hours, it must travel at a speed of:",300 kmph,360 kmph,600 kmph,720 kmph,Ans.4
202,Math,Hard,"If log 2 = 0.3010 and log 3 = 0.4771, the value of log5 512 is:",2.87,2.967,3.876,3.912,Ans.3
203,Math,Hard,How many kilogram of sugar costing Rs. 9 per kg must be mixed with 27 kg of sugar costing Rs. 7 per kg so that there may be a gain of 10% by selling the mixture at Rs. 9.24 per kg?,36 kg,42 kg,54 kg,63 kg,Ans.4
204,IQ,Easy,Which answer expresses the meaning of the specified word best? Reassuring,compassionate,Comforting ,Explanatory,meddlesome,Ans.3
205,IQ,Easy,Which number logically follows this series? 4 6 9 6 14 6 ...,6,17,19,21,Ans.2
206,IQ,Easy,"What is the correct answer to the following problem. Tom has a new set of golf clubs. Using a club 8, the ball travels an average distance of 100 meters. Using a club 7, the ball travels an average distance of 108 meters. Using a club 6, the ball travels an average distance of 114 meters. How far will the ball go if Tom uses a club 5?",122 meters,120 meters,118 meters,116 meters,Ans.2
207,English,Easy,Antonym Which answer expresses the meaning opposite of that of the specified word best?,Tough,)starch,strong,tender,Ans.4
208,English,Intermediate,Which word(s) can logically replace the question mark? Water is to a pipe as…. ? is to a wire.,cord,electricity,heat,gas,Ans.2
209,Situational,Easy,You have multiple deadlines due at the same time. What do you do?,Work randomly,Prioritize tasks based on urgency,Delay all tasks,Ask others to do your work,B
210,Situational,Easy,A team member is not contributing. What is your action?,Ignore,Report immediately,Talk to them first,Do their work,C
211,Situational,Easy,You made a mistake at work.,Hide it,Blame others,Ignore it,Admit and fix it,D
212,Situational,Easy,You receive unclear instructions.,Guess,Ask for clarification,Ignore task,Delay,B
213,Situational,Easy,Team conflict arises.,Escalate immediately,Ignore,Mediate calmly,Leave team,C
214,Situational,Easy,You are overloaded with work.,Quit,Panic,Organize tasks,Ignore,C
215,Situational,Easy,Your manager gives feedback.,Ignore,Argue,Complain,Accept and improve,D
216,Situational,Easy,You miss a deadline.,Hide,Blame,Inform and recover,Ignore,C
217,Situational,Easy,A colleague asks for help.,Help if possible,Ignore,Refuse,Report,A
218,Situational,Easy,You disagree with a decision.,Stay silent,Complain,Discuss respectfully,Ignore,C
219,Situational,Easy,You face a new task.,Panic,Avoid,Learn and try,Delay,C
220,Situational,Easy,A client is angry.,Argue,Listen and solve,Ignore,Blame,B
221,Situational,Easy,You work in a team.,Work alone,Ignore team,Collaborate,Compete,C
222,Situational,Easy,You have free time.,Waste it,Leave,Improve skills,Sleep,C
223,Situational,Easy,You receive criticism.,Get angry,Ignore,Learn from it,Quit,C
224,Situational,Easy,You don't understand task.,Ask,Guess,skip,Delay,A
225,Situational,Easy,Your teammate succeeds.,Envy,Ignore,Congratulate,Compete,C
226,Situational,Easy,You are stressed.,Quit,Panic,Manage stress,Ignore,C
227,Situational,Easy,You have a big project.,Plan steps,Ignore,Delay,Panic,A
228,Situational,Easy,You face failure.,Quit,Blame,Ignore,Learn and retry,D
229,IQ,Easy,"What comes next: 2, 4, 6, ? ",7,8,9,10,B
230,IQ,Easy,5 + 3 × 2 = ?,16,11,10,13,B
231,IQ,Easy,"Find odd one: Apple, Banana, Car, Orange ",Apple,Banana,Car,Orange,C
232,IQ,Easy,"If ALL cats are animals, then: ",All animals are cats,Some animals are cats,No animals are cats,None,B
233,IQ,Intermediate,"Series: 3, 6, 12, 24, ? ",36,48,60,72,B
234,IQ,Intermediate,"If A=1, B=2, what is CAB × 2? ",10,12,14,16,B
235,IQ,Intermediate,"1, 1, 2, 3, 5, ? ",6,7,8,9,C
236,IQ,Intermediate,Which is different?,Dog,Cat,Cow,Car,D
237,IQ,Intermediate,Clock: 3:15 angle?,7.5°,0°,90°,45°,A
238,IQ,Intermediate,Mirror of 6?,6,9,0,1,B
239,IQ,Intermediate,If 2x = 10 → x = ?,2,3,5,10,C
240,IQ,Hard,"2, 6, 7, 21, 22, ? ",44,66,23,46,B
241,IQ,Hard,"4, 9, 16, 25, ? ",30,36,49,40,B
242,IQ,Hard,"All Bloops are Razzies, all Razzies are Lazzies → ",All Bloops are Lazzies,Some are not,None,Unknown,A
243,Logic,Easy,All roses are flowers. Some flowers fade quickly.,All roses fade quickly,Some roses may fade quickly,No roses fade,None,B
244,Logic,Easy,"If it rains, the ground gets wet. It is raining. ",Ground is dry,Ground is wet,Maybe wet,Unknown,B
245,Logic,Easy,All cars have wheels. My bike has wheels.,Bike is a car,Bike is not a car,Cannot conclude,Bike has no wheels,C
246,Logic,Easy,If A > B and B > C →,A < C,A > C,A = C,None,B
247,Logic,Intermediate,Some cats are black. All black things are animals.,All cats are animals,Some cats are animals,No cats are animals,None,B
248,Logic,Intermediate,If no birds can swim and penguins are birds →,Penguins swim,Penguins can't swim,Maybe,Unknown,B
249,Logic,Intermediate,"All A are B, some B are C → ",Some A are C,All A are C,No A are C,Cannot conclude,D
250,Logic,Intermediate,If X = Y and Y ≠ Z →,X = Z,X ≠ Z,cannot include,None,B
251,Logic,Intermediate,Some students are lazy.,All students lazy,Some not lazy,All not lazy,None,B
252,Logic,Intermediate,All fruits are sweet. Lemon is fruit.,Lemon is sweet,Lemon is bitter,Cannot conclude,None,A
253,Logic,Intermediate,"If today is Monday, tomorrow is: ",Sunday,Tuesday,Wednesday,Friday,B
254,Logic,Hard,"If all X are Y, and no Y are Z → ",Some X are Z,No X are Z,All X are Z,Unknown,B
255,Logic,Hard,"If A happens only if B happens, and B happens only if C happens... ",A → C,C→ A,A = B,None,A
256,Logic,Hard,If some A are B and all B are C →,Some A are C,All A are C,None A are C,Cannot conclude,A
257,Math,Easy,10 + 5 = ?,12,15,20,10,B
258,Math,Easy,20 ÷ 4 = ?,4,5,6,8,B
259,Math,Easy,7 × 3 = ?,21,24,18,20,A
260,Math,Intermediate,12 × 5 − 10 = ?,50,60,40,55,A
261,Math,Intermediate,If x + 3 = 10 → x = ?,5,6,7,8,C
262,Math,Intermediate,Area of square (side = 4)?,8,12,16,20,C
263,Math,Intermediate,15% of 200 = ?,20,25,30,35,C
264,Math,Intermediate,(8 + 2) × 3 = ?,30,24,20,18,A
265,Math,Hard,If 3x + 2 = 11 → x = ?,2,3,4,5,B
266,Math,Hard,Train travels 60 km/h for 2 hours → distance?,100,110,120,130,C
267,English,Easy,She ___ going to school.,are,is,am,be,B
268,English,Easy,Opposite of “big”:,large,huge,small,tall,C
269,English,Easy,I ___ a book.,has,have,hads,having,B
270,English,Intermediate,He has ___ his homework.,do,did,done,doing,C
271,English,Intermediate,Synonym of “happy”:,sad,angry,joyful,tired,C
272,English,Intermediate,They ___ playing now.,is,are,am,be,B
273,English,Intermediate,She ___ to market yesterday.,go,goes,went,going,C
274,English,Intermediate,I will call you ___ I arrive.,when,but,so,because,A
275,English,Hard,"Had I known, I ___ earlier. ",come,came,would have come,coming,C
276,English,Hard,No sooner had he arrived ___ it started raining.,than,then,when,while,A
277,Math,Easy,"A box contains 3 red, 4 blue and 5 green balls. If one ball is chosen at random, what is the probability that it is white?",5/12,12/5,0,1/4,C
278,Math,Easy,How much greater is 2^5 than 5^2?,0,7,14,77,B
279,Math,Easy,What is: sin(60) - cos(30) - tan(0)?,root(3)/2,0,1/root(3),1/2,B
280,Math,Intermediate,"If the ratio of men to women is 4:5 while the ratio of women to children is 4:2, what is the ratio of men to children?",8:5,5:8,1:2,1,A
281,Math,Intermediate,"Two cars travel in the same direction. One drives at 73 km/h, the other at 45 km/h. After 5 hours, how far apart are they (km)?",121,112,180,292,B
282,Math,Intermediate,A bus travels for 2 hours at 70 km/hr and for 3 hours at 80 km/hr. What is its average speed?,74,76,78,80,B
283,Math,Intermediate,4 cats take 6 days to catch 12 mice. How many days will it take 6 cats to catch 36 mice?,6,9,12,15,C
284,Math,Hard,A square has an area of 2304 cm2. What is its perimeter in (cm)?,192,129,912,219,A
285,Math,Hard,What is the measure of the smaller angle formed by the hour and minute hands of the clock at 10:28?,108,120,132,146,D
286,Math,Hard,The length of a rectangle is 7 cm longer than its width. What is the area (cm2) if its perimeter is 110 cm?,110,312,744,1488,C
287,Math,Hard,What is the sum of the first 150 odd numbers?,11325,11500,12500,22500,D
288,English,Easy,What will you do if you ___ the system dynamics exam?,would fail,fail,will fail,fails,B
289,English,Easy,We ___ when the police came.,was sleeping,weren’t sleeping,won’t sleeping,are sleeping,B
290,English,Easy,"You wouldn’t like to invite my dad, ___ ?",did you,would you,won’t you,isn’t you,B
291,English,Intermediate,What would you do if it ___ on your wedding day?,rained,will rain,rains,would rain,A
292,English,Intermediate,"“If I won a million dollars, I would buy my own airplane.” Which conditional is this?",zero,first,second,third,C
293,English,Intermediate,My friends don’t believe in life after death. They say there’s ___ as heaven and hell.,no true thing,no such thing,no real thing,no right thing,B
294,English,Intermediate,"In the village where I grew up, everyone survived by helping ___ through the hard times.",one other,one or other,one another,hello brother,A
295,English,Intermediate,"Your family will always be there to help you, ___ .",no matter what,no matter which,no matter that,no matter each,A
296,English,Hard,A Pair or group of words that usually go together (e.g. fish and chips):,collocation,idiom,conjunction,verbs,A
297,English,Hard,It’s often said that there’s a ___ between genius and madness.,thick line,short line,fine line,long line,C
298,Situational,Easy,A teammate has stopped participating and is not completing their tasks. What is the most appropriate action?,Immediately remove the team member.,Complete their work without mentioning it.,Speak to the team member privately to understand and solve it.,Complain to the whole team to embarrass them.,C
299,Situational,Easy,"You find a wallet with cash, ID, and documents on campus. What is the most ethical action?",Take the cash and leave the wallet.,Keep the wallet until someone asks publicly.,Hand the wallet to university security or student affairs.,Leave the wallet because it is not your responsibility.,C
300,Situational,Easy,You joined a workshop that is not as useful as expected. What would be the best response?,Leave immediately and post negative comments.,Stay respectful and give constructive feedback afterward.,Tell other students not to attend before it's finished.,Interrupt and criticize the presenter.,B
301,Situational,Easy,"A project member regularly arrives late to meetings, causing delays. What is the most professional response?",Speak privately about how lateness affects the group.,Publicly criticize them to teach a lesson.,Exclude them without explanation.,Ignore the issue and hope it improves.,A
302,Situational,Easy,You notice a student secretly using their phone to cheat during an exam. What is the most ethical action?,Ignore it because it doesn't affect you.,Quietly inform the instructor without disrupting.,Warn the student so they can hide it.,Take a photo and share it later.,B
303,Situational,Easy,A close friend lost the class notes you spent a lot of time preparing. What is the best response?,End the friendship because they were careless.,Calmly explain why they were important and discuss avoiding it.,Publicly tell others not to trust them.,Refuse to speak to them without listening.,B
304,Situational,Intermediate,"A professor forbids recording, but you believe it helps you study. What is most appropriate?",Secretly record the lecture.,Ask the professor if there is another way to review.,Ask another student to secretly record.,Record only the important parts.,B
305,Situational,Intermediate,"The team leader gives you a larger, more difficult task than others. What is the most professional response?",Refuse to complete it.,Complain to the team.,Discuss the workload respectfully and ask for clarification.,Complete only part of the task.,C
306,Situational,Intermediate,A friend with personal problems asks for help/answers during an exam. What is the ethical response?,Allow them to copy.,Give them small hints.,Refuse to help during the exam and support them afterward.,Tell them answers if the instructor isn't watching.,C
307,Situational,Intermediate,"During a visit, a student damages a machine and no one noticed. What is the responsible action?",Say nothing and leave.,Blame another student.,Inform the company staff honestly and help resolve it.,Tell the student to handle it alone.,C
308,Situational,Intermediate,"Two teammates are arguing frequently, affecting progress. What is the best response?",Ignore the issue.,Support the teammate you know better.,Encourage both to discuss the issue calmly and professionally.,Remove both from the project immediately.,C
309,Situational,Intermediate,A classmate asks to copy your completed assignment because they ran out of time. What is the ethical response?,Send the assignment.,Refuse to help at all.,Explain the material without sharing your work.,Send only part of the assignment.,C
310,Situational,Intermediate,A teammate presents your ideas as their own during a presentation. What is the best response?,Interrupt and correct immediately.,Speak to the teammate privately after the presentation.,Publicly accuse them later.,Say nothing.,B
311,Situational,Intermediate,"Two days before the deadline, you realize the project won't be finished. What is the responsible action?",Wait until the deadline passes.,Inform the supervisor early and explain honestly.,Blame a team member.,Submit incomplete work without explanation.,B
312,Situational,Intermediate,You accidentally see another student's private academic records open on a PC. What is the ethical response?,Read the information.,Take a picture.,Close the file and report the issue to staff.,Ignore it and leave it open.,C
313,Situational,Intermediate,"You agreed to volunteer, but get an invite to a better social gathering. What is the best response?",Cancel volunteer role without explanation.,Ignore the organizers.,Honor your original commitment and attend.,Ask someone else to cover last minute.,C
314,Situational,Hard,"Five days before submission, a technical accident destroys most project data. What is the responsible action?","Remain calm, inform the supervisor honestly, and organize to rebuild.",Submit whatever remains without explaining.,Blame one team member.,Accept it cannot be saved and wait for supervisor to ask.,A
315,Situational,Hard,A friend violates a rule that could damage the team's reputation and asks you to keep it secret. What is ethical?,Keep the secret.,Encourage friend to report it and offer support.,Immediately report them without speaking to them.,Ignore unless someone else discovers it.,B
316,Situational,Hard,The university accidentally overpays your scholarship and hasn't noticed. What is the ethical action?,Keep the extra money.,Wait several weeks to see if they notice.,Contact the finance office and report it immediately.,Spend the money now.,C
317,Situational,Hard,"A team leader consistently gives best opportunities to friends, hurting morale. What is the professional response?",Stay silent.,Publicly accuse the leader.,Gather clear examples and raise the concern respectfully through proper channels.,Leave the organization immediately.,C
318,IQ,Easy,"Which number completes the sequence: 2, 6, 12, 20, 30, ?",36,40,42,44,C
319,IQ,Easy,"If ""LIGHT"" is coded as 56 and ""DARK"" is coded as 33, what is the code for ""GLOW""?",48,52,55,60,B
320,IQ,Easy,"Which shape is the odd one out: Square, Hexagon, Triangle, Circle?",Square,Hexagon,Triangle,Circle,D
321,IQ,Easy,"Look at this sequence: 1, 4, 9, 16, 25, ?",30,36,40,49,B
322,IQ,Intermediate,"If 3 workers can build 3 chairs in 3 hours, how many hours does it take 1 worker to build 1 chair?",1 hour,3 hours,6 hours,9 hours,B
323,IQ,Intermediate,All cats are animals. All animals need water. Therefore:,All cats need water.,Some animals are cats.,Water is only for cats.,Not all cats are animals.,A
324,IQ,Intermediate,"If today is Monday, what day was it 65 days ago?",Sunday,Saturday,Friday,Thursday,B
325,IQ,Intermediate,"A man is looking at a photo. He says: ""I have no brothers or sisters, but that man's father is my father's son."" Who is in the photo?",His father,His son,Himself,His grandfather,B
326,IQ,Intermediate,"Which word does not belong in this group: Apple, Grape, Carrot, Peach?",Apple,Grape,Carrot,Peach,C
327,IQ,Intermediate,"If X is taller than Y, and Y is taller than Z, who is the shortest?",X,Y,Z,Cannot be determined,C
328,IQ,Intermediate,"A clock shows the time is 3:15. If the clock is turned 90 degrees clockwise, what is the new direction of the minute hand?",Up (12:00 position),Down (6:00 position),Left (9:00 position),Right (3:00 position),B
329,IQ,Intermediate,"Which number comes next in the pattern: 121, 144, 169, 196, ?",215,225,235,245,B
330,IQ,Hard,"If you rearrange the letters ""LNGDNEA"" you get the name of a:",City,Animal,Country,Ocean,C
331,IQ,Hard,A train leaves Station A heading North at 50 mph. Another train leaves Station A heading South at 50 mph. How far apart are they after 2 hours?,50 miles,100 miles,150 miles,200 miles,D
332,IQ,Hard,What is the missing number in this grid? [4] [9] [16] [25] [36] [?],40,45,49,64,C
333,Situational,Easy,A manager asks you to break company rules to hire their friend quickly. What should you do?,Ignore the manager and do nothing.,Do what the manager wants to stay friendly.,Tell a senior leader or the person in charge of rules.,Quit your job immediately.,C
334,Situational,Easy,An employee is always 15 minutes late but does a great job. What is the first thing HR should do?,Give the worker a formal warning right away.,Have a friendly talk to understand why they are late.,Ignore the problem because their work is good.,Take money away from their pay for being late.,B
335,Situational,Easy,A job candidate says they need a day off for a religious holiday. The company is usually open that day. How should you answer?,Tell them the company never makes exceptions.,Say the company provides help for religious needs.,Stop the interview and do not hire them.,Ask the candidate to explain their religion in detail.,B
336,Situational,Easy,A worker says their boss makes uncomfortable jokes about their age. This is the first time you heard this. What should HR do?,Tell the worker to be stronger and ignore it.,Move the worker to a different team right away.,Look into the problem and remind the boss about the rules.,Wait for a second report before doing anything.,C
337,Situational,Easy,You see a worker taking office supplies home for personal use. What is the best action?,Ignore it because the supplies are cheap.,Tell everyone else they can do it too.,Talk to the worker privately about company policy.,Call the police immediately.,C
338,Situational,Easy,A good worker quits because they feel they cannot grow at the company. Others feel the same. What is the priority?,Give everyone in the department more money.,Create a clear plan for promotions and career growth.,Hire new managers from outside to inspire people.,Talk only to the people who make the most money.,B
339,Situational,Intermediate,Two senior managers are fighting in public about money for a project. The work has stopped. How should HR help?,Support the manager that the CEO likes best.,Meet with both in private to focus on the project goals.,Punish both managers for being unprofessional.,Let them solve it themselves.,B
340,Situational,Intermediate,You find out a man is paid more than a woman for the same job and experience. What is the right action?,Lower the man's pay.,Wait until next year to change the pay.,Check all pay rates and raise the woman's pay to be fair.,Tell the woman she should have asked for more money.,C
341,Situational,Intermediate,A worker says a manager is lying about sales numbers. This manager makes the most money for the company. What must HR do?,Protect the manager to keep the company's profit safe.,Tell the manager who complained about them.,Hire an outside expert to check the numbers and protect the worker.,Ask the worker for proof before you do anything.,C
342,Situational,Intermediate,"A team does great work, but many people are quitting. The manager is mean to the workers. What is the best plan?",Give the manager a reward for the team's good work.,"Give the manager training, but fire them if they don't improve.",Fire the manager immediately without a warning.,Do nothing as long as the work is finished.,B
343,Situational,Intermediate,A long-time worker stops doing good work after a family tragedy. They have no more vacation days. How should HR handle this?,Fire the worker for poor performance.,Offer the worker time off without pay or a flexible schedule.,Do nothing and let them do poor work forever.,Move them to a lower-paying job.,B
344,Situational,Intermediate,"The company is joining another company. Workers are worried about losing their jobs, but leaders are silent. What should HR tell the CEO?",Stay silent until all the paperwork is finished.,Send a clear message to workers about what is happening.,Throw a big party to distract everyone.,Tell everyone their jobs are safe even if it is a lie.,B
345,Situational,Intermediate,"A manager wants to hire their own friend, but there are better people who applied. What should HR tell the manager?",Let the manager hire their friend.,Explain that the company must hire the best person to be fair.,Hire the friend and give the better people a different job.,Pretend to interview others but hire the friend anyway.,B
346,Situational,Intermediate,A team stops working hard because their manager takes credit for all their ideas. What should HR do?,Tell the team to stop being jealous.,Talk to the manager and teach them how to praise the team.,Ignore it because the manager is the boss.,Move the whole team to a different department.,B
347,Situational,Intermediate,A group of workers feel the company rules are unfair and want to quit. What should HR do first?,Fire the workers who are complaining.,Hold a meeting to listen and see if rules need to change.,Give everyone a small gift to make them happy.,Tell them they are lucky to have a job.,B
348,Situational,Intermediate,A worker is caught saying bad things about the company on social media. What is the first step?,Fire the worker immediately.,Check the company rules and meet with the worker to talk.,Ignore the comments.,Delete the worker's social media account.,B
349,Situational,Hard,The board wants to use AI to replace 30% of the staff. HR must manage this. What is the best way?,Tell the workers on the same day the AI starts.,Create a training program and offer money to those who leave.,Hide the fact that AI is doing the work.,Replace full-time staff with part-time workers.,B
350,Situational,Hard,"The company is growing fast, but new workers do not follow the company values. What is the priority?",Stop hiring until things get better.,Change the training and interview questions to focus on values.,Fire all the new workers who are different.,Change the company values to match the new people.,B
351,Situational,Hard,A top boss is accused of breaking a rule. The person who complained has lied in the past. What do you do?,Ignore the complaint because the person lied before.,Do a fair and honest investigation like you would for anyone.,Pay the person to stay quiet.,Tell the person they are a liar and send them away.,B
352,Situational,Hard,Which information is best to show the Board that a health program for workers is valuable?,How many people used the gym.,Data showing fewer sick days and people staying at the company longer.,Nice comments from the workers.,How much the program cost to build.,B
353,Math,Easy,A shirt costs 20 dollars. It is on sale for 25% off. What is the new price?,10 dollars,15 dollars,18 dollars,5 dollars,B
354,Math,Easy,"If a train travels 60 miles in one hour, how many miles will it travel in 3 hours?",120 miles,160 miles,180 miles,200 miles,C
355,Math,Easy,"What is the next number in this pattern: 5, 10, 15, 20, ?",21,25,30,35,B
356,Math,Intermediate,"A box contains 4 red balls and 6 blue balls. If you pick one ball without looking, what is the chance it is red?",20%,40%,50%,60%,B
357,Math,Intermediate,What is the result of the integral of 2x with respect to x?,x,x^2 + C,2x^2 + C,2 + C,B
358,Math,Intermediate,"What is the value of the determinant of a 2x2 matrix with rows [1, 2] and [3, 4]?",-2,2,10,-10,A
359,Math,Intermediate,What is the integral of cos(x) with respect to x?,sin(x) + C,-sin(x) + C,tan(x) + C,cos^2(x) + C,A
360,Math,Intermediate,"If Matrix A is size 2x3 and Matrix B is size 3x4, what is the size of the product Matrix AB?",3x3,4x2,2x4,It cannot be multiplied,C
361,Math,Intermediate,What is the derivative of x^3?,3x,3x^2,x^2,3x^3,B
362,Math,Intermediate,"In linear algebra, if the determinant of a square matrix is zero, the matrix is called:",Identity matrix,Singular matrix,Orthogonal matrix,Symmetric matrix,B
363,Math,Hard,What is the value of e^0?,0,1,e,Infinity,B
364,Math,Hard,What is the integral of 1/x with respect to x?,x^2,ln(x) + C,-1/x^2,1,B
365,Math,Hard,What is the sum of the angles in a triangle?,90 degrees,180 degrees,270 degrees,360 degrees,B
366,Math,Hard,"If a vector has components (3, 4), what is its magnitude (length)?",5,7,12,25,A
367,Math,Hard,What is the value of the integral of x^2 from x=0 to x=3?,3,6,9,27,C
368,Logic,Easy,"If all roses are flowers and some flowers fade quickly, can we say for sure that some roses fade quickly?",Yes,No,Only in summer,Only if they are red,B
369,Logic,Easy,A father is currently 40 years old and his son is 10. In how many years will the father be exactly double the son's age?,10 years,15 years,20 years,30 years,C
370,Logic,Easy,"Which word is the odd one out: Whale, Shark, Dolphin, Seal?",Whale,Shark,Dolphin,Seal,B
371,Logic,Easy,"If you follow a recipe that says ""bake for 30 minutes for every 1 kilogram of meat,"" how long do you bake 2.5 kilograms?",60 minutes,75 minutes,80 minutes,90 minutes,B
372,Logic,Intermediate,"Mary has four daughters, and each of her daughters has one brother. How many children does Mary have in total?",4,5,8,9,B
373,Logic,Intermediate,"If a doctor gives you 3 pills and tells you to take one every half hour, how long will the pills last?",30 minutes,60 minutes,90 minutes,120 minutes,B
374,Logic,Intermediate,"Some months have 30 days, some have 31. How many months have 28 days?",1,2,6,12,D
375,Logic,Intermediate,"If an electric train is moving North, which way is the smoke blowing?",South,East,West,There is no smoke,D
376,Logic,Intermediate,A farmer has 17 sheep. All but 9 run away. How many sheep are left?,8,9,17,0,B
377,Logic,Intermediate,"In a race, if you overtake the person in second place, what place are you in now?",First,Second,Third,Last,B
378,Logic,Intermediate,"If ""A"" is to ""B"" as ""Up"" is to ""Down,"" then ""Left"" is to:",Right,Side,Back,Top,A
379,Logic,Intermediate,"Which number should come next in the series: 1, 1, 2, 3, 5, 8, 13, ?",15,20,21,25,C
380,Logic,Hard,"If you have a drawer with 10 black socks and 10 white socks, what is the minimum number of socks you must pull out to guarantee a matching pair?",2,3,11,20,B
381,Logic,Hard,"A man is looking at a portrait and says, ""That man's father is my father's son."" He has no brothers or sisters. Who is in the portrait?",His father,His son,His grandfather,Himself,B
382,Logic,Hard,"If five machines can make five tools in five minutes, how long does it take 100 machines to make 100 tools?",1 minute,5 minutes,20 minutes,100 minutes,B
383,English,Easy,Which word describes a person who works hard and is careful about their tasks?,Lazy,Diligent,Careless,Slow,B
384,English,Easy,What is the best way to start a professional email to someone you do not know?,Hey there!,"Dear Sir/Madam,",What's up?,"Yo,",B
385,English,Easy,"If a project is ""behind schedule,"" what does it mean?",It is finished early.,It is moving at the right speed.,It is taking longer than planned.,It is cancelled.,C
386,English,Intermediate,"Choose the word that means the opposite of ""Permanent"":",Long,Forever,Temporary,Stable,C
387,English,Intermediate,"In a business meeting, if you want to ""get to the point,"" what are you doing?",Telling a joke.,Discussing the main topic directly.,Leaving the room.,Taking a break.,B
388,English,Intermediate,"Which word means ""to make something better""?",Damage,Improve,Reduce,Ignore,B
389,English,Intermediate,"If you ""see eye to eye"" with a coworker, it means you:",Are fighting.,Are looking at them.,Agree with them.,Are confused.,C
390,English,Intermediate,"What does the word ""Resilient"" mean?",Being very rich.,Being able to recover quickly from difficulty.,Being very loud.,Being afraid of change.,B
391,English,Intermediate,Which phrase is most polite when asking for help?,Do this for me.,Give me a hand now.,Could you please help me with this?,"I need help, move fast.",C
